trade_year,fund_type,L_t,T_remaining,pi_observed
2010,Buyout,-1.855,6.62,0.4132
2010,Credit,-1.384,11.71,0.3945
2010,Buyout,-0.89,11.51,0.2942
2010,Buyout,-0.883,9.16,0.2553
2010,Infra,-0.615,8.79,0.1984
2010,Buyout,-0.279,6.6,0.1543
2010,Growth,-0.208,9.77,0.1768
2010,Buyout,-0.067,11.75,0.183
2010,Buyout,-0.059,6.5,0.1146
2010,Buyout,-0.049,9.56,0.1233
2010,Buyout,0.066,11.17,0.142
2010,Buyout,0.091,5.82,0.1075
2010,Buyout,0.234,6.28,0.0882
2010,Buyout,0.349,11.87,0.1391
2010,Growth,0.356,4.4,0.0626
2010,Growth,0.386,2.04,0.0294
2010,Infra,0.399,7.77,0.1251
2010,Infra,0.399,1.04,0.0268
2010,Growth,0.43,6.48,0.1176
2010,Growth,0.439,10.01,0.1272
2010,VC,0.515,11.92,0.1218
2010,Buyout,0.574,4.51,0.0848
2010,Growth,0.634,2.14,0.0589
2010,RE,0.674,2.13,0.0398
2010,Buyout,0.712,2.96,0.0604
2010,Buyout,0.815,11.97,0.1464
2010,Growth,0.831,6.98,0.0918
2010,Buyout,0.938,7.73,0.1064
2010,Buyout,0.976,7.2,0.1248
2010,Buyout,1.173,11.43,0.1598
2010,VC,1.226,0.69,0.0243
2011,Buyout,-1.151,2.9,0.193
2011,Buyout,-0.919,9.2,0.2673
2011,VC,-0.626,6.68,0.1889
2011,Growth,-0.499,6.55,0.163
2011,Buyout,-0.363,2.55,0.1068
2011,Infra,-0.354,3.97,0.127
2011,Infra,-0.331,3.46,0.1152
2011,Buyout,-0.329,4.4,0.1022
2011,Buyout,0.116,10.21,0.1518
2011,RE,0.117,7.88,0.105
2011,Buyout,0.155,3.2,0.071
2011,Buyout,0.164,10.49,0.1337
2011,Infra,0.234,1.93,0.0503
2011,VC,0.286,6.23,0.0784
2011,RE,0.463,2.46,0.0549
2011,Growth,0.467,6.62,0.0908
2011,VC,0.499,10.04,0.1093
2011,Buyout,0.553,10.79,0.1193
2011,RE,0.581,5.4,0.1126
2011,Buyout,0.594,10.58,0.0892
2011,Buyout,0.602,10.83,0.1367
2011,Buyout,0.634,9.36,0.116
2011,VC,0.677,6.31,0.0999
2011,Buyout,0.714,3.55,0.0676
2011,VC,0.77,2.37,0.0477
2011,Credit,1.039,8.64,0.143
2012,Growth,-2.143,8.38,0.5672
2012,Credit,-1.244,1.15,0.1399
2012,Growth,-1.219,4.94,0.2554
2012,Credit,-1.193,10.02,0.3437
2012,Growth,-1.168,2.19,0.1244
2012,VC,-0.925,4.22,0.1727
2012,Growth,-0.719,5.62,0.1762
2012,Buyout,-0.576,5.59,0.1851
2012,Buyout,-0.563,10.02,0.233
2012,Credit,-0.549,2.38,0.0884
2012,Buyout,-0.09,6.57,0.1189
2012,RE,-0.036,1.3,0.0576
2012,Credit,-0.026,5.5,0.1046
2012,VC,0.016,2.45,0.0691
2012,VC,0.158,8.15,0.1065
2012,VC,0.172,9.21,0.1265
2012,VC,0.249,11.89,0.1488
2012,Growth,0.293,6.3,0.1102
2012,VC,0.309,1.57,0.0629
2012,Buyout,0.415,10.12,0.1324
2012,Infra,0.434,7.26,0.1308
2012,VC,0.45,10.83,0.1177
2012,Buyout,0.45,4.39,0.0755
2012,Buyout,0.456,5.15,0.0729
2012,Credit,0.469,1.61,0.0215
2012,Buyout,0.512,5.53,0.0817
2012,Buyout,0.517,6.9,0.1095
2012,Growth,0.565,5.4,0.0857
2012,Growth,0.601,9.61,0.1215
2012,Buyout,0.609,4.85,0.085
2012,VC,0.73,9.18,0.1296
2012,Growth,0.757,5.92,0.0894
2012,Credit,0.921,6.3,0.1072
2012,Buyout,1.454,9.19,0.1716
2013,Buyout,-1.361,4.4,0.2783
2013,Buyout,-1.205,4.47,0.2656
2013,Buyout,-0.729,5.86,0.1727
2013,Buyout,-0.613,3.34,0.1344
2013,RE,-0.565,3.52,0.1325
2013,Buyout,-0.525,4.12,0.1385
2013,Growth,-0.401,4.47,0.1282
2013,RE,0.207,6.64,0.1106
2013,VC,0.218,11.73,0.1382
2013,Buyout,0.224,9.2,0.0907
2013,Growth,0.312,9.36,0.1317
2013,Growth,0.362,11.42,0.1382
2013,Growth,0.376,4.73,0.0814
2013,VC,0.388,4.04,0.0986
2013,Buyout,0.399,11.19,0.1356
2013,Buyout,0.408,9.09,0.0985
2013,Growth,0.426,3.51,0.0698
2013,Growth,0.444,10.39,0.1335
2013,Buyout,0.446,8.74,0.1366
2013,Infra,0.452,4.65,0.0879
2013,Buyout,0.46,10.32,0.1276
2013,Growth,0.492,10.85,0.1454
2013,Infra,0.502,1.08,0.0607
2013,Buyout,0.519,1.27,0.0493
2013,Buyout,0.536,7.32,0.1005
2013,Buyout,0.539,1.33,0.0641
2013,Buyout,0.584,6.89,0.0894
2013,Buyout,0.593,10.05,0.0991
2013,Buyout,0.603,10.11,0.1147
2013,Buyout,0.662,8.05,0.1111
2013,Credit,0.685,6.81,0.0786
2013,RE,0.7,3.56,0.0877
2013,Infra,0.706,5.77,0.0923
2013,Infra,0.773,2.68,0.068
2013,Buyout,0.847,10.54,0.1069
2013,Growth,0.856,10.71,0.1064
2013,Infra,1.118,8.06,0.1533
2014,Buyout,-1.249,8.53,0.3263
2014,Infra,-1.216,5.14,0.2574
2014,Growth,-1.154,5.65,0.2295
2014,Buyout,-1.096,7.47,0.2847
2014,RE,-0.999,2.64,0.1333
2014,Growth,-0.859,1.57,0.0983
2014,Infra,-0.618,6.21,0.1742
2014,Buyout,-0.609,8.76,0.2061
2014,Buyout,-0.549,7.76,0.2032
2014,Credit,-0.398,11.86,0.1918
2014,Growth,-0.327,6.7,0.1487
2014,RE,-0.218,2.59,0.0696
2014,Buyout,-0.162,2.18,0.0719
2014,Buyout,0.067,6.89,0.1448
2014,Infra,0.232,3.94,0.0941
2014,Infra,0.233,7.48,0.1042
2014,Growth,0.316,5.39,0.0748
2014,Growth,0.355,8.35,0.0964
2014,RE,0.377,8.14,0.1013
2014,Buyout,0.383,7.38,0.1064
2014,Infra,0.472,9.1,0.1117
2014,RE,0.509,1.93,0.0512
2014,Buyout,0.51,3.18,0.0875
2014,Buyout,0.575,4.12,0.0859
2014,Credit,0.577,10.34,0.1339
2014,Buyout,0.596,1.86,0.0422
2014,VC,0.617,7.03,0.1157
2014,Buyout,0.64,4.22,0.0555
2014,Buyout,0.737,8.04,0.1183
2014,Credit,0.808,3.81,0.0754
2014,VC,0.844,8.32,0.1368
2014,Buyout,1.005,4.55,0.0841
2015,Buyout,-1.123,10.42,0.322
2015,Buyout,-0.83,4.27,0.1775
2015,Buyout,-0.609,11.11,0.219
2015,Credit,-0.546,8.67,0.2173
2015,Infra,-0.499,4.37,0.1349
2015,Buyout,-0.412,4.26,0.1456
2015,Growth,-0.352,9.32,0.1621
2015,Buyout,-0.259,6.12,0.128
2015,Buyout,-0.194,1.18,0.0595
2015,Buyout,-0.125,8.76,0.1187
2015,Credit,-0.113,9.14,0.1461
2015,Growth,-0.068,11.21,0.151
2015,Buyout,0.004,9.29,0.1389
2015,Buyout,0.005,9.29,0.117
2015,Growth,0.105,11.4,0.1281
2015,Infra,0.175,2.09,0.0679
2015,Growth,0.195,1.0,0.0573
2015,Growth,0.209,11.2,0.1529
2015,Credit,0.274,8.48,0.1296
2015,Buyout,0.297,2.34,0.0782
2015,Buyout,0.333,4.92,0.0905
2015,Infra,0.344,0.95,0.0536
2015,RE,0.369,8.02,0.0867
2015,Buyout,0.397,2.3,0.0481
2015,VC,0.504,11.07,0.1472
2015,Infra,0.547,5.33,0.0742
2015,VC,0.556,0.66,0.0152
2015,Growth,0.576,6.26,0.1136
2015,Buyout,0.61,7.31,0.1267
2015,Infra,0.639,2.24,0.0555
2015,Buyout,0.668,4.86,0.0909
2015,Growth,0.691,6.5,0.1096
2015,Buyout,0.737,1.09,0.0325
2015,Buyout,0.874,3.71,0.0746
2015,Buyout,0.882,11.93,0.1382
2015,Growth,0.909,7.31,0.1107
2015,VC,0.983,6.3,0.0955
2015,Buyout,1.036,8.89,0.1045
2016,Buyout,-1.522,7.07,0.3551
2016,Infra,-0.942,5.96,0.1967
2016,RE,-0.855,2.99,0.1704
2016,Buyout,-0.595,10.66,0.2218
2016,Infra,-0.447,9.3,0.1755
2016,VC,-0.315,3.48,0.1064
2016,Buyout,-0.224,4.55,0.0964
2016,Buyout,-0.164,9.88,0.1562
2016,Buyout,-0.101,5.29,0.1129
2016,Buyout,-0.058,2.8,0.0571
2016,Credit,-0.006,9.69,0.1304
2016,Buyout,0.014,8.59,0.1275
2016,Buyout,0.191,7.71,0.1298
2016,Buyout,0.199,11.28,0.1392
2016,Growth,0.407,11.65,0.1256
2016,Growth,0.496,2.78,0.0565
2016,VC,0.561,10.31,0.0794
2016,Buyout,0.577,9.29,0.1103
2016,Infra,0.641,6.28,0.0722
2016,Buyout,0.655,11.19,0.1018
2016,Buyout,0.71,9.91,0.0852
2016,VC,0.722,6.47,0.1115
2016,Credit,0.729,0.89,0.0446
2016,Infra,0.745,3.41,0.0762
2016,Credit,0.749,8.34,0.1404
2016,VC,0.834,2.77,0.0646
2016,Growth,0.983,7.01,0.1088
2017,Buyout,-2.172,1.77,0.269
2017,Credit,-1.839,1.27,0.1976
2017,Buyout,-1.648,11.12,0.4517
2017,RE,-1.395,8.12,0.3439
2017,RE,-1.296,11.85,0.3895
2017,Growth,-0.991,4.79,0.2087
2017,Growth,-0.954,1.73,0.1151
2017,Buyout,-0.856,7.26,0.2237
2017,Buyout,-0.735,3.92,0.1491
2017,Buyout,-0.493,0.87,0.0578
2017,Buyout,-0.492,3.05,0.0887
2017,Infra,-0.253,10.44,0.1915
2017,RE,-0.241,4.29,0.1073
2017,Credit,-0.13,3.2,0.0671
2017,Buyout,-0.081,3.45,0.0755
2017,Buyout,0.032,6.02,0.1018
2017,Growth,0.064,3.65,0.0924
2017,RE,0.116,2.58,0.0694
2017,Buyout,0.162,7.42,0.1286
2017,Growth,0.166,10.14,0.124
2017,Credit,0.169,3.47,0.0684
2017,VC,0.225,3.43,0.0769
2017,VC,0.274,2.0,0.0707
2017,Credit,0.313,7.23,0.1045
2017,Growth,0.332,10.19,0.1338
2017,Buyout,0.365,2.64,0.0418
2017,VC,0.371,7.24,0.1259
2017,RE,0.393,11.53,0.1067
2017,Infra,0.404,6.81,0.0769
2017,Buyout,0.474,2.01,0.0667
2017,RE,0.485,11.84,0.1265
2017,Growth,0.486,6.1,0.0852
2017,Buyout,0.51,10.78,0.1353
2017,Buyout,0.539,11.31,0.135
2017,Infra,0.573,5.99,0.0869
2017,Growth,0.6,8.71,0.1224
2017,Credit,0.636,7.42,0.087
2017,Infra,0.692,6.09,0.1102
2017,Buyout,0.769,1.54,0.0611
2017,RE,0.781,3.78,0.0814
2017,VC,0.786,4.18,0.0803
2017,Growth,1.039,2.78,0.079
2017,Infra,1.072,9.27,0.1396
2018,VC,-1.765,1.72,0.2312
2018,Buyout,-1.61,11.68,0.5083
2018,Infra,-1.515,1.27,0.1372
2018,Infra,-1.448,6.68,0.3118
2018,Buyout,-1.061,9.2,0.2609
2018,Buyout,-0.969,4.72,0.1992
2018,Infra,-0.758,12.0,0.2697
2018,Credit,-0.72,4.63,0.1411
2018,Growth,-0.645,5.52,0.1643
2018,Growth,-0.503,9.59,0.2131
2018,Infra,-0.391,1.42,0.0657
2018,Credit,-0.39,2.69,0.0671
2018,RE,-0.379,1.09,0.0434
2018,Buyout,-0.303,2.23,0.0876
2018,VC,-0.065,2.51,0.0596
2018,Growth,0.039,6.04,0.1042
2018,Infra,0.088,3.91,0.086
2018,Buyout,0.125,10.48,0.1158
2018,Growth,0.241,2.83,0.0571
2018,Growth,0.264,8.26,0.1095
2018,Buyout,0.313,3.64,0.0729
2018,Infra,0.391,6.6,0.116
2018,Buyout,0.424,2.72,0.0563
2018,Buyout,0.426,2.07,0.0246
2018,Infra,0.437,5.43,0.0696
2018,VC,0.525,1.41,0.0556
2018,Growth,0.53,3.86,0.0814
2018,Growth,0.579,0.95,0.0293
2018,VC,0.605,4.58,0.0894
2018,Buyout,0.622,3.69,0.0734
2018,Buyout,0.7,1.65,0.0404
2018,RE,0.799,1.3,0.0504
2018,RE,0.841,11.41,0.1403
2018,Growth,0.909,0.99,0.0608
2018,Buyout,0.909,6.28,0.102
2018,Credit,0.911,0.89,0.067
2018,Credit,0.969,4.98,0.0932
2019,Buyout,-2.266,7.22,0.5659
2019,VC,-1.549,0.76,0.1272
2019,RE,-0.868,1.2,0.092
2019,Buyout,-0.824,4.93,0.1856
2019,Buyout,-0.609,10.38,0.2243
2019,Buyout,-0.591,5.34,0.1704
2019,Infra,-0.281,7.54,0.1412
2019,Credit,-0.032,4.05,0.1038
2019,Growth,-0.017,6.5,0.1232
2019,Infra,0.03,0.86,0.0354
2019,Buyout,0.127,11.27,0.1301
2019,RE,0.151,9.92,0.1024
2019,Credit,0.23,1.74,0.0616
2019,Growth,0.258,0.99,0.0406
2019,Buyout,0.288,0.63,0.0386
2019,VC,0.452,6.63,0.0775
2019,Infra,0.455,5.43,0.0729
2019,VC,0.48,3.54,0.0754
2019,Credit,0.483,4.96,0.0696
2019,Credit,0.571,1.63,0.0474
2019,Growth,0.61,11.34,0.1256
2019,Growth,0.616,4.44,0.0954
2019,Infra,0.633,10.99,0.1062
2019,Buyout,0.667,0.95,0.0318
2019,Buyout,0.685,6.98,0.1002
2019,Buyout,0.691,7.38,0.1222
2019,RE,0.818,8.87,0.1141
2019,Growth,0.826,9.5,0.1198
2019,VC,1.019,3.81,0.0624
2020,VC,-0.797,10.61,0.2305
2020,Buyout,-0.76,2.72,0.1384
2020,Growth,-0.706,9.97,0.2433
2020,Buyout,-0.533,9.28,0.2111
2020,Buyout,-0.425,7.18,0.1839
2020,Credit,-0.423,8.78,0.1766
2020,Buyout,-0.377,6.34,0.1455
2020,Growth,-0.244,8.61,0.1659
2020,Infra,-0.16,4.43,0.1238
2020,Credit,-0.088,1.92,0.1031
2020,Growth,-0.006,3.53,0.0864
2020,Infra,0.19,9.78,0.0966
2020,Buyout,0.211,4.74,0.1027
2020,VC,0.232,10.25,0.1253
2020,Buyout,0.313,0.6,0.0391
2020,Infra,0.333,7.26,0.0936
2020,Buyout,0.373,10.8,0.1398
2020,VC,0.41,8.88,0.1095
2020,VC,0.412,4.27,0.0932
2020,Growth,0.414,9.52,0.0775
2020,Buyout,0.489,7.89,0.0904
